Samples,RPC1_score,RPC2_score,RPC3_score,RPC4_score,RPC5_score
1A,-0.6338773515841735,9.800219293000795,1.4385609283191267,0.7267986107433724,1.4983255240335955
1B,-1.5039963095555324,-0.6016516698674407,1.406420293665555,1.1397303434056762,2.0995313518942322
1C,-1.7772046349587862,-0.656948512983035,1.5503216678085197,0.5672236527142682,1.4608750909348904
1D,-1.8497715116517262,-0.5637538671612988,1.4936374904181782,0.60816192870296,1.6137888363166577
1E,-2.69421968119417,-0.7416742339198809,0.702973855319641,-0.28726153267611937,0.826686756057454
2A,-1.7077593543585394,-0.6486503919467633,1.5436950344138767,0.7347342035152847,1.6396266700710844
2B,1.2766485738108913,-0.39915215620936884,-0.9063819348970675,-0.20710844082977087,-0.13130259247271378
2C,0.46565000295416775,-0.6421686364906983,0.031165599746413773,-1.2341024707383668,-0.6930969365255139
3A,-0.5603861491724297,-0.5751388983845556,1.365775888091815,1.3622119432623683,1.2011664593152989
3B,-1.4281212968027348,-0.6620054163227258,1.1056731577185033,0.24680880321772544,-0.4453044478645786
3C,-0.8275066086569228,-0.642198326026079,0.41604521330648736,-0.3062870845854173,-1.142158944783297
3D,3.83444269822911,-0.5811184657994594,0.12412033835392333,-0.037417267484514696,-0.138515925536692
3E,1.079912881996511,-0.6081610901239516,0.12235632232373064,0.3051121865914597,0.11254394497567276
3F,-1.040881762604537,-0.6124302298116081,1.7162150800703626,1.0280583131480545,0.15952531787470747
3G,-0.5578954868112017,-0.5740533091805697,1.6373448877751595,1.0842607213261557,1.4015408385337444
3H,-0.3268340530774805,-0.6219141607221995,0.9270057070927495,0.3961290459327234,-2.3780574453851853
3I,-1.7435685340271998,-0.753844619551292,1.265344241896554,0.05862968811317895,-1.4334721504054906
3J,-1.7684648189519574,-0.8508043037386422,1.0595636479866308,-0.6023548428218337,-1.7427925646500426
3K,1.176629720545515,-0.27276954580236246,-1.5339110224682038,-0.33445582661124773,-1.1591535187484039
4A,-1.79532652482728,-0.799017705017484,0.9017757731843068,-0.09938203694942531,-1.4119217490832168
4B,-2.1176017142195134,-0.7418397274674119,0.9725479157572045,0.24558710733344816,1.1515945529648455
4C,-2.0835743608065678,-0.7650902860077562,1.2348653973092851,0.03760042120813795,-0.6102130823588436
4D,-1.7993934478424491,4.130282122563903,0.8875427494401151,-0.963108329865026,-0.953158668660471
4E,0.4463357649825048,-0.39829396701390657,-1.4147164393373197,-0.16431670927051556,-0.8731958560580204
4F,1.390780817780569,2.118981561276573,-0.4153117175832759,1.1846024762225558,-1.3131734347632436
4G,-1.2030435302169513,-0.5897379361347965,1.9655437476857645,-1.4142596166698704,-1.5011300660147766
5,5.42727937971151,0.1287020891742742,-2.06101648506178,-6.068015296470165,-0.8598933065631976
6,0.3692939044394729,-0.5740442920635461,-4.433590490743502,0.2734121800531392,-0.12309444992452533
7,-1.540745319962853,-0.7304301634936524,1.2501236003875573,0.3773448410909767,-0.4713306755645934
8,3.5256241040261846,-0.6925953265505378,0.2457560863994275,-0.4974465172552456,0.7540635222209259
9,-1.1174969471966847,-0.6452547314801321,1.339375410372326,0.8989808295657664,1.390159916665898
10,2.6618720024550466,0.10060283258695375,-3.532834361574845,0.039763591576709965,0.883752524553978
11,2.627260178303567,0.5313540564132249,-5.327048830673591,0.6969176970265003,0.6435219260274693
12,3.319235038289223,0.11011939277006356,-2.9965117440699953,0.1470838578067431,-0.3589272887668759
13,2.476704330955412,0.024480621485371147,-4.082427008433625,0.05636352967031433,0.9031898716892302
