,Ba,B,Sr,V,Ni,Cr,Cu,Co,Cd,As,Pb ,Zn,Mo,Be,Li ,Sb
Cluster_0,118.38692307692307,3156.046923076923,475.47230769230765,11.071538461538463,7.356923076923077,17.91846153846154,36.832307692307694,2.270769230769231,0.12384615384615386,34.31307692307692,1.143076923076923,4.745384615384616,0.3469230769230769,0.24076923076923076,5.0053846153846155,0.11153846153846153
Cluster_1,5.074761904761904,375.4166666666667,512.267619047619,0.9523809523809523,9.109523809523811,3.234761904761905,14.403333333333334,0.27476190476190476,0.019523809523809523,31.548095238095236,0.16428571428571428,8.81047619047619,2.2061904761904763,0.10761904761904763,0.7185714285714285,0.039047619047619046
Cluster_2,1.17,10.69,98.74,0.0,264.67,66.13,11.22,0.42,0.05,52.93,0.0,222.1,65.92,0.08,0.31,0.0
