Table 1b: eigen values and explained variance in PC of trace elements,,
PC,Eigen value,Explained variance ration (%)
PC1,7.114,0.432
PC2,3.831,0.233
PC3,1.973,0.120
PC4,1.240,0.075
PC5,0.694,0.042
PC6,0.543,0.033
PC7,0.485,0.029
PC8,0.281,0.017
PC9,0.158,0.010
PC10,0.055,0.003
PC11,0.050,0.003
PC12,0.019,0.001
PC13,0.014,0.001
PC14,0.011,0.001
PC15,0.002,0.000
PC16,0.000,0.000
