Sample,Cluster
1A,2
1B,1
1C,1
1D,1
1E,1
2A,1
2B,0
2C,0
3A,1
3B,1
3C,1
3D,0
3E,0
3F,1
3G,1
3H,1
3I,1
3J,1
3K,0
4A,1
4B,1
4C,1
4D,1
4E,0
4F,1
4G,1
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
