S. No,Location No.,name,Lat.,Long,x,y,B,Ni,Cr,Cd,Ca,Mg,Na,K,Fe,Ti,
34,34a Ras Abu Fintas,W34A," 25°13'2.75""N"," 51°36'31.82""E",25.21743,51.60883,2112.77,28.21,47.06,0.2,67067.41,20243.74,27204.28,8546.41,6931.24,942.52,
35,35 Umm Al Houl1,W35," 25° 5'5.93""N"," 51°33'12.53""E",25.08498,51.55348,4377.24,45.83,114.2,0.49,81032.29,32097.46,8338.36,7566.19,15238.04,1710.71,
36,38 Mesaieed2,W38," 25° 1'46.36""N"," 51°30'18.79""E",25.02954,51.50521,4048.08,44.49,90.24,0.26,77776.47,30905.17,8578.76,7017.48,12350.44,1416.58,
37,39 Mesaieed3,W39," 24°57'32.40""N"," 51°29'19.05""E",24.959,51.48862,2566.35,20.18,82.11,0.13,69626.96,25673.76,46042.13,7397.35,6359.23,1084.52,
38,40 Mesaieed4,W41," 24°58'3.07""N"," 51°26'17.79""E",24.96751,51.43827,1828.65,9.23,32.3,0.24,51232.5,11406.29,53291.15,8454.81,4811.21,677.14,
39,41,W42," 24°55'6.32""N"," 51°29'13.83""E",24.91842,51.48717,1207.92,6.15,26.54,0.07,53746.55,9459.97,47037.73,8113.19,4525.72,602.42,
40,42,W43," 24°52'56.88""N"," 51°28'11.13""E",24.88246,51.46975,1419.24,3.41,30.35,0.15,43128.15,6090.04,77830.77,7540.55,3508.99,542.92,
41,43,W44," 24°49'46.97""N"," 51°26'4.47""E",24.82971,51.43457,2464.25,7.88,39.57,0.15,66301.04,25264.62,96065.26,6685.51,4733.42,673.82,
42,44,W45," 24°43'35.02""N"," 51°23'36.95""E",24.72639,51.39359,1760.32,6.11,24.99,0.05,48849.95,11321.78,81841.12,8466.59,4047.01,551.24,
44,47,W47," 24°39'13.95""N"," 51°21'43.10""E",24.65387,51.36197,1171.5,1.77,8.42,0.11,45339.81,6695.8,71878.02,7853.1,2351.89,259.76,
45,48,W48," 24°40'41.34""N"," 51°17'56.45""E",24.67815,51.29901,1878.16,7.84,93.44,0.21,54977.41,18521.86,41424.99,7599.28,7565.44,1716.83,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
