Cluster,B,Ni,Cr,Cd,Ca,Mg,Na,K,Fe,Ti
1,6444.126470588235,16.23705882352941,23.018823529411765,0.0688235294117647,95435.34999999999,25571.258235294117,16052.570588235294,3074.7323529411765,4193.3452941176465,371.2147058823529
2,3614.067777777778,30.36111111111111,74.4,0.2222222222222222,73311.74666666666,29890.09333333333,27321.517777777775,6512.042222222222,9740.045555555556,1215.5866666666668
3,1655.3714285714286,7.472857142857143,23.004285714285714,0.16571428571428573,49270.13285714285,10071.981428571427,59790.131428571425,8176.178571428572,3836.502857142857,523.9642857142857
4,3661.143,14.1,25.761000000000003,0.173,77047.521,32647.203999999998,65875.08200000001,5039.4580000000005,5044.873,531.832
