Sample,Cluster
W3,1
W4,1
W5,1
W6,1
W7,1
W8 ,1
W9,1
W11,1
W12,1
W13,1
W13R,1
W14,2
W15,4
W15A,1
W16,2
W17,1
W18,3
W19,4
W20,1
W21Z,2
W22,1
W23,4
W24,4
W25,3
W26A,2
W27,1
W29,4
W30,4
W31,2
W31A,1
W32,4
W33,4
W34,4
W35,2
W38,2
W39,2
W41,3
W42,3
W43,3
W44,4
W45,3
W47,3
W48,2
