PC, Eigenvalue, Explained_pct
PC1, 4.335250581366266, 42.3443
PC2, 3.114091484349357, 30.4167
PC3, 1.016135677746673, 9.9250
PC4, 0.7359868689376087, 7.1887
PC5, 0.3948995117540225, 3.8572
PC6, 0.3406390438611408, 3.3272
PC7, 0.20482305409196166, 2.0006
PC8, 0.04148727225246594, 0.4052
PC9, 0.03340813267012651, 0.3263
PC10, 0.021373611065615205, 0.2088
