,Al,Fe,Ca,Mg,Mn,Na,K,P
Cluster_0,1.1658538461538461,0.30604615384615386,6.800876923076923,1.8294846153846154,0.008438461538461539,4.497446153846154,0.5707615384615384,0.007153846153846154
Cluster_1,0.08020833333333334,0.03858333333333333,7.929558333333333,0.33168333333333333,0.001125,3.9168083333333334,0.10315,0.0018833333333333332
Cluster_2,0.01248,0.00885,0.77718,0.13751,0.00028,29.22439,0.0629,0.00028
