,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Al,0.3854899071113227,-0.25556596916488267,-0.27541362699924177,0.30373750809497,-0.12186914497908807,-0.10605798436580406,0.7544018640096721,-0.1508372307905417
Fe,0.40613086740049154,-0.1589689020370361,-0.007673229352847755,-0.4112426976394476,0.0902358075655768,-0.29457590984604404,0.022188933836950475,0.7383748069278464
Ca,0.21233801125493074,0.6861706352588599,-0.1050389172575116,-0.103772508423908,-0.5135183807880103,0.3829832771808576,0.13496691730673696,0.18354055101508293
Mg,0.3053516750563612,0.10105862394268383,0.8614776790208176,0.34754648563537555,-0.09508812247327157,-0.1557903658134847,0.016575255633198616,0.005294310473836522
Mn,0.40299702429563283,-0.15725413885295586,-0.012664451175396517,-0.46734713614577444,-0.3927111978348275,-0.23389123529295977,-0.2825033026267785,-0.5527707385421919
Na,-0.27372685308111105,-0.5785914917790296,0.27396631582246445,-0.19003617090271877,-0.4516977181543997,0.4760934117541591,0.1470909271574774,0.16371530451632824
K,0.37467349453849574,-0.261175022976213,-0.2805935324712505,0.5413589974097898,-0.1407754044836772,0.2539401224539125,-0.5530977120799194,0.171419677735569
P,0.4128134619630176,-0.025740362334756364,0.1302337476658529,-0.24386270858997866,0.571132124901168,0.6206241021388536,0.06733301546935559,-0.1912922227250016
